Date Received,Ref Number,Number of Boxes,Client Name,Status,Country,Days in Stock
6/19/2026,AT3367,10,CLIENT-95ED,Dispatched,Austria,
6/19/2026,AT3244,39,CLIENT-A32B,Dispatched,Austria,
6/19/2026,AT3383,16,CLIENT-D10E,In Warehouse,Austria,13
6/19/2026,AT3478,21,CLIENT-9950,Dispatched,Austria,
6/19/2026,AT3444,14,CLIENT-2FDE,In Warehouse,Austria,13
6/19/2026,AT3519,10,CLIENT-5D0D,In Warehouse,Austria,13
6/19/2026,AT3501,10,CLIENT-CADE,Dispatched,Austria,
6/19/2026,AT3310,11,CLIENT-79F7,In Warehouse,Austria,13
6/19/2026,AT3376,9,CLIENT-1B91,In Warehouse,Austria,13
6/19/2026,AT3494,13,CLIENT-1A2A,In Warehouse,Austria,13
6/19/2026,AT3380,18,CLIENT-BE39,In Warehouse,Austria,13
6/19/2026,AT3426,11,CLIENT-C759,In Warehouse,Austria,13
6/19/2026,AT3370,9,CLIENT-9DDF,Dispatched,Austria,
6/19/2026,AT3500,11,CLIENT-5DCE,Dispatched,Austria,
6/19/2026,AT3453,9,CLIENT-D292,Dispatched,Austria,
6/19/2026,AT3410,10,CLIENT-EC49,Dispatched,Austria,
6/19/2026,AT3503,10,CLIENT-D523,Dispatched,Austria,
6/19/2026,AT3496,8,CLIENT-3CC6,Dispatched,Austria,
6/19/2026,AT3293,8,CLIENT-8559,Dispatched,Austria,
6/19/2026,AT3372,10,CLIENT-E451,Dispatched,Austria,
6/19/2026,AT3371,9,CLIENT-92DC,Dispatched,Austria,
6/19/2026,AT3417,9,CLIENT-AB3D,Dispatched,Austria,
6/19/2026,AT3521,10,CLIENT-6936,Dispatched,Austria,
6/19/2026,AT3522,2,CLIENT-6936,Dispatched,Austria,
6/19/2026,AT3270,10,CLIENT-1094,Dispatched,Austria,
6/19/2026,AT3449,2,CLIENT-C68D,Dispatched,Austria,
6/19/2026,AT3425,1,CLIENT-D16B,Dispatched,Austria,
6/19/2026,AT3490,4,CLIENT-3629,In Warehouse,Austria,13
6/19/2026,AT3375,3,CLIENT-D5A6,In Warehouse,Austria,13
6/19/2026,AT3523,2,CLIENT-707E,In Warehouse,Austria,13
6/19/2026,AT3516,2,CLIENT-5672,In Warehouse,Austria,13
6/19/2026,AT3517,2,CLIENT-30F6,In Warehouse,Austria,13
6/19/2026,DE41613,2,CLIENT-ANON,In Warehouse,Germany,13
6/19/2026,AT3374,1,CLIENT-BC57,Dispatched,Austria,
6/19/2026,AT3462,1,CLIENT-C960,In Warehouse,Austria,13
6/19/2026,AT3363,1,CLIENT-6F2F,Dispatched,Austria,
6/19/2026,AT3391,1,CLIENT-AACC,In Warehouse,Austria,13
6/19/2026,AT3037,1,CLIENT-A21A,In Warehouse,Austria,13
6/19/2026,DE45561,1,CLIENT-3ACA,Dispatched,Germany,
6/19/2026,AT3448,1,CLIENT-2007,In Warehouse,Austria,13
6/19/2026,AT3429,1,CLIENT-9D9B,Dispatched,Austria,
6/19/2026,Unlabelled,1,CLIENT-5194,In Warehouse,,
6/19/2026,AT3221,1,CLIENT-F203,In Warehouse,Austria,13
6/19/2026,AT2992,1,CLIENT-EFE5,In Warehouse,Austria,13
6/19/2026,Unlabelled,5,CLIENT-EFE5,In Warehouse,,13
6/19/2026,AT3003,12,CLIENT-19B5,In Warehouse,Austria,13
6/22/2026,Unlabelled,12,CLIENT-C940,In Warehouse,,10
6/22/2026,CH2041,10,CLIENT-38C0,Dispatched,Switzerland,
6/22/2026,CH2030,9,CLIENT-7853,Dispatched,Switzerland,
